video_id,status
vid_399,failed
vid_401,failed
vid_400,failed
vid_402,failed
vid_403,failed
vid_405,failed
vid_406,failed
vid_404,failed
vid_407,failed
vid_408,failed
vid_409,failed
vid_411,failed
vid_410,failed
vid_412,failed
vid_413,failed
vid_414,failed
vid_415,failed
vid_419,failed
vid_416,failed
vid_421,failed
vid_417,failed
vid_418,failed
vid_420,failed
vid_422,failed
vid_423,failed
vid_424,failed
vid_426,failed
vid_425,failed
vid_427,failed
vid_429,failed
vid_428,failed
vid_430,failed
vid_432,failed
vid_431,failed
vid_433,failed
vid_434,failed
vid_435,failed
vid_439,failed
vid_436,failed
vid_443,failed
vid_437,failed
vid_441,failed
vid_442,failed
vid_440,failed
vid_438,failed
vid_444,failed
vid_445,failed
vid_446,failed
vid_448,failed
vid_449,failed
vid_454,failed
vid_447,failed
vid_453,failed
vid_450,failed
vid_451,failed
vid_452,failed
vid_455,failed
vid_456,failed
vid_457,failed
vid_459,failed
vid_458,failed
vid_462,failed
vid_461,failed
vid_460,failed
vid_464,failed
vid_463,failed
vid_465,failed
vid_466,failed
vid_467,failed
vid_468,failed
vid_469,failed
vid_471,failed
vid_470,failed
vid_472,failed
vid_473,failed
vid_475,failed
vid_474,failed
vid_476,failed
vid_477,failed
vid_478,failed
vid_479,failed
vid_480,failed
vid_481,failed
vid_482,failed
vid_483,failed
vid_484,failed
vid_486,failed
vid_485,failed
vid_487,failed
vid_488,failed
vid_489,failed
vid_490,failed
vid_491,failed
vid_492,failed
vid_496,failed
vid_495,failed
vid_493,failed
vid_494,failed
vid_497,failed
vid_498,failed
vid_501,failed
vid_499,failed
vid_500,failed
vid_504,failed
vid_506,failed
vid_503,failed
vid_505,failed
vid_502,failed
vid_507,failed
vid_508,failed
vid_509,failed
vid_513,failed
vid_510,failed
vid_512,failed
vid_511,failed
vid_516,failed
vid_514,failed
vid_515,failed
vid_517,failed
vid_518,failed
vid_520,failed
vid_519,failed
vid_522,failed
vid_521,failed
vid_523,failed
vid_526,failed
vid_524,failed
vid_527,failed
vid_525,failed
vid_528,failed
vid_529,failed
vid_530,failed
vid_531,failed
vid_533,failed
vid_534,failed
vid_532,failed
vid_535,failed
vid_537,failed
vid_536,failed
vid_538,failed
vid_539,failed
vid_540,failed
vid_541,failed
vid_548,failed
vid_547,failed
vid_546,failed
vid_542,failed
vid_543,failed
vid_544,failed
vid_545,failed
vid_549,failed
vid_551,failed
vid_553,failed
vid_552,failed
vid_550,failed
vid_555,failed
vid_556,failed
vid_554,failed
vid_557,failed
vid_558,failed
vid_559,failed
vid_560,failed
vid_561,failed
vid_562,failed
vid_563,failed
vid_564,failed
vid_565,failed
vid_566,failed
vid_567,failed
vid_568,failed
vid_569,failed
vid_570,failed
vid_571,failed
vid_572,failed
vid_573,failed
vid_574,failed
vid_575,failed
vid_577,failed
vid_578,failed
vid_576,failed
vid_579,failed
vid_580,failed
vid_581,failed
vid_582,failed
vid_583,failed
vid_584,failed
vid_585,failed
vid_586,failed
vid_588,failed
vid_587,failed
vid_589,failed
vid_590,failed
vid_591,failed
vid_592,failed
vid_593,failed
vid_594,failed
vid_595,failed
vid_596,failed
vid_597,failed
vid_600,failed
vid_599,failed
vid_598,failed
vid_601,failed
vid_602,failed
vid_603,failed
vid_604,failed
vid_605,failed
vid_608,failed
vid_609,failed
vid_607,failed
vid_606,failed
vid_612,failed
vid_610,failed
vid_611,failed
vid_613,failed
vid_615,failed
vid_617,failed
vid_616,failed
vid_618,failed
vid_614,failed
vid_619,failed
vid_620,failed
vid_622,failed
vid_621,failed
vid_623,failed
vid_624,failed
vid_625,failed
vid_626,failed
vid_630,failed
vid_628,failed
vid_627,failed
vid_631,failed
vid_629,failed
vid_632,failed
vid_633,failed
vid_634,failed
vid_635,failed
vid_636,failed
vid_637,failed
vid_640,failed
vid_638,failed
vid_639,failed
vid_641,failed
vid_642,failed
vid_643,failed
vid_644,failed
vid_645,failed
vid_646,failed
vid_647,failed
vid_648,failed
vid_650,failed
vid_649,failed
vid_651,failed
vid_652,failed
vid_653,failed
vid_654,failed
vid_655,failed
vid_656,failed
vid_657,failed
vid_658,failed
vid_660,failed
vid_659,failed
vid_661,failed
vid_662,failed
vid_663,failed
vid_664,failed
vid_665,failed
vid_666,failed
vid_667,failed
vid_668,failed
vid_669,failed
vid_672,failed
vid_670,failed
vid_673,failed
vid_671,failed
vid_675,failed
vid_674,failed
vid_676,failed
vid_677,failed
vid_678,failed
vid_679,failed
vid_680,failed
vid_681,failed
vid_682,failed
vid_683,failed
vid_684,failed
vid_686,failed
vid_685,failed
vid_687,failed
vid_688,failed
vid_689,failed
vid_690,failed
vid_691,failed
vid_693,failed
vid_692,failed
vid_696,failed
vid_695,failed
vid_694,failed
vid_698,failed
vid_697,failed
vid_699,failed
vid_700,failed
vid_701,failed
vid_702,failed
vid_703,failed
vid_705,failed
vid_704,failed
vid_706,failed
vid_707,failed
vid_708,failed
vid_709,failed
vid_710,failed
vid_711,failed
vid_712,failed
